Product_name,Ratings,Reviews,stars,Current_Price,MRP,Processor,RAM,Storage,Image_URL
Lenovo Legion Y540 Core i5 9th Gen,305,26,4.4,₹64390,₹86690,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kiew3gw0/computer/m/p/j/lenovo-original-imafy7ng97axn45e.jpeg?q=70
MSI Modern 14 Core i5 10th Gen,822,113,4.5,₹56490,₹57240,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kjabs7k0/computer/z/d/6/msi-original-imafywfypuwbubmn.jpeg?q=70
Lenovo Legion 5 Ryzen 7 Octa Core 5800H,0,0,0,₹137990,₹181890,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kt39jm80/computer/f/0/s/na-gaming-laptop-lenovo-original-imag6ggmwjmgqhqn.jpeg?q=70
ASUS Core i5 10th Gen,2,1,5,₹55990,₹67990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/m/l/b/asus-vivobook-15-core-i3-10th-gen-15-6-inch-lightwi-ngs-original-imag3ggwd55crazr.jpeg?q=70
MSI GF63 Thin Hexa Core i5 10th Gen,2890,300,4.4,₹58990,₹76990,Intel Hexa Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
DELL Inspiron Core i5 11th Gen,196,17,4.5,₹69890,₹90686,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kqb8pzk0/computer/d/j/c/na-2-in-1-laptop-dell-original-imag4dy68bwtg8j9.jpeg?q=70
Lenovo ThinkBook 13s Core i5 11th Gen,7,0,3.6,₹58990,₹121608,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/x/k/g/thinkbook-13s-thin-and-light-laptop-lenovo-original-imag6zepnbxrwmaf.jpeg?q=70
HP Core i5 11th Gen,8,1,4,₹57990,₹81684,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kb89ea80/computer/n/m/5/hp-na-thin-and-light-laptop-original-imafsmmghwzzu3mq.jpeg?q=70
MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen,4,1,4.5,₹139990,₹188990,AMD Ryzen 9 Octa Core Processor (5th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kxnl6kw0/computer/p/y/t/a5efk-083in-gaming-laptop-msi-original-imaga237dvrrnznh.jpeg?q=70
ASUS VivoBook Pro 14 OLED (2022) Core i5 11th Gen,25,4,4,₹65990,₹90990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/x/z/f/-original-imagetak6cqmxgf5.jpeg?q=70
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,18,7,3.9,₹57990,₹93690,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
ASUS TUF Gaming A17 Ryzen 5 Hexa Core 4600H,308,52,4.6,₹68890,₹87990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kjrh2fk0/computer/9/b/z/asus-na-gaming-laptop-original-imafz9kvas37qgwr.jpeg?q=70
HP Chromebook Celeron Quad Core,12,2,3.6,₹27490,₹33578,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,35.56 cm (14 Inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/kzogn0w0/computer/j/u/m/14a-ca0504tu-thin-and-light-laptop-hp-original-imagbmt6dsjhwwhz.jpeg?q=70
HP Pavilion Core i5 12th Gen,0,0,0,₹62999,₹72537,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/t/9/g/14-dv2053tu-thin-and-light-laptop-hp-original-imagetfnzvbdwzth.jpeg?q=70
Lenovo ThinkBook 13s Core i5 11th Gen,119,13,4.3,₹64990,₹120708,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/x/k/g/thinkbook-13s-thin-and-light-laptop-lenovo-original-imag6zepnbxrwmaf.jpeg?q=70
